"Environment" "Phenotype" "pine_correlation" "spruce_correlation" "pine_slope_bayenv" "pine_score2_bayenv" "pine_score1_bayenv" "spruce_slope_bayenv" "spruce_score2_bayenv" "spruce_score1_bayenv"
"270" "MAT" "MaxGthRate_mm_Day" -0.2 -0.05 -0.0971232178213829 0.4721 -3.85875278292955e-05 0.138704954824989 0.5368 5.98121066689181e-05
"134" "EMT" "MaxGthRate_mm_Day" -0.2 0.18 -0.0544529780975771 0.4826 -2.16341192365869e-05 -0.0942942050664616 0.4756 -4.06618426234316e-05
"112" "Elevation" "Gth5pctS02_Day" -0.2 -0.23 0.218760548705221 0.544 7.89874233817952e-05 0.120300382014829 0.5269 4.97461132876275e-05
"108" "Elevation" "FinalRootWeightS02_g" -0.2 -0.1 NA NA NA NA NA NA
"107" "Elevation" "ColdInjurySpringS02_Mean" 0.2 0.23 0.275368250891688 0.5638 0.000108007107869322 -0.0314982153762795 0.4974 -1.40318544299349e-05
"335" "PAS" "HtFinalS01_mm" -0.19 0.1 0.103131296285282 0.5288 3.99452904772556e-05 -0.0907392573021887 0.4773 -3.91052388557493e-05
"326" "PAS" "ColdInjuryFallS02_Mean" 0.19 0.66 0.210143583947248 0.5527 8.87761463364416e-05 0.134760112806767 0.5523 7.17117421938726e-05
"312" "NFFD" "FinalRootWeightS02_g" 0.19 0.35 NA NA NA NA NA NA
"221" "log(MAP)" "TotalWeight" -0.19 0.22 NA NA NA NA NA NA
"192" "Latitude" "ColdInjurySpringS02_Mean" -0.19 -0.45 0.259254783071876 0.5536 0.000101689164431477 0.21262312373883 0.5551 9.47210437303843e-05
"103" "Elevation" "BudBreakS02_day" -0.19 0.26 0.280876073134472 0.5576 0.000107234742279083 0.182794968874031 0.5425 8.04281884028063e-05
"98" "eFFP" "HtFinalS02_mm" 0.19 0.3 0.139309629535455 0.5359 5.54986976708379e-05 0.276258158548977 0.5794 0.000128780046693065
"84" "DD5" "RootShoot_Ratio" 0.19 0.2 0.122710747822345 0.5351 4.72871306146593e-05 0.259114315178134 0.5704 0.000113457283174053
"79" "DD5" "Gth95pctS02_Day" 0.19 0.26 0.160423446175311 0.5436 6.17831241604235e-05 0.385424320278633 0.6091 0.000175995326359065
"64" "DD0" "HtFinalS02_mm" -0.19 -0.27 0.135445106223718 0.5355 5.39596009797576e-05 0.196752418903089 0.5496 9.17178160532423e-05
"40" "CMD" "FinalRootWeightS02_g" 0.19 0.31 NA NA NA NA NA NA
"309" "NFFD" "ColdInjuryFallS02_Mean" 0.18 0.15 0.2320179783697 0.5559 9.80178734148354e-05 0.17340777044605 0.5519 9.22717832632158e-05
"305" "MWMT" "RootShoot_Ratio" 0.18 0.13 0.154445090523877 0.5436 5.95163128982595e-05 0.207104202309812 0.5552 9.06837805650027e-05
"300" "MWMT" "Gth95pctS02_Day" 0.18 0.14 0.154682519522755 0.543 5.95718150031726e-05 0.302916990723887 0.5828 0.00013832031265826
"266" "MAT" "Gth95pctS02_Day" 0.18 0.51 0.1253519418124 0.5328 4.82763296385508e-05 0.463649294423296 0.6271 0.000211716212708159
"234" "log(MSP)" "HtFinalS02_mm" -0.18 -0.24 0.178827988289594 0.548 7.12408943166097e-05 0.248360367364987 0.5743 0.000115775243188959
"152" "Eref" "RootShoot_Ratio" 0.18 0.34 0.114865436383355 0.5329 4.42638699314402e-05 0.312722928618187 0.5878 0.000136930014516324
"144" "Eref" "FinalStemDiamS02_mm" 0.18 0.23 0.170439946325165 0.5466 6.53509709307325e-05 0.248092850905263 0.5694 0.000109800517812663
"118" "Elevation" "RootShoot_Ratio" -0.18 -0.05 0.211611893926643 0.5476 8.15466762569032e-05 0.168161851979628 0.5412 7.36327007308977e-05
"63" "DD0" "HtFinalS01_mm" -0.18 -0.23 0.258708874029018 0.5572 0.000100204223607184 0.184670623494407 0.5451 7.95811538097834e-05
"50" "CMD" "RootShoot_Ratio" 0.18 0.28 0.150213110208238 0.5413 5.78851282359225e-05 0.270638285660409 0.5732 0.000118503588873535
"28" "bFFP" "Gth95pctS02_Day" -0.18 -0.09 0.162309496741342 0.5419 6.25149616967072e-05 0.254892324112262 0.5707 0.000116389952424381
"25" "bFFP" "FinalStemDiamS02_mm" -0.18 0.08 0.123824621960564 0.5312 4.74778005282612e-05 -0.0627200799975287 0.4863 -2.77592626344949e-05
"23" "bFFP" "FinalRootWeightS02_g" -0.18 -0.12 NA NA NA NA NA NA
"352" "SHM" "HtFinalS01_mm" 0.17 0.18 0.190132911888017 0.55 7.36432011180595e-05 0.205711490457783 0.5554 8.86500121205542e-05
"314" "NFFD" "FinalStemDiamS02_mm" 0.17 0.18 0.065667345587435 0.5179 2.51783401879586e-05 0.202634990843786 0.5576 8.96823802524448e-05
"176" "FFP" "FinalRootWeightS02_g" 0.17 0.21 NA NA NA NA NA NA
"171" "FFP" "BudBreakS02_day" 0.17 -0.1 0.253214854376202 0.5638 9.66740607177543e-05 0.100638315015922 0.5293 4.42798019980843e-05
"132" "EMT" "HtFinalS02_mm" 0.17 0.26 0.146744826276527 0.5376 5.84609228288349e-05 0.270617128071313 0.5699 0.000126150481997053
"69" "DD5" "BudBreakS02_day" 0.17 -0.15 0.208326309738028 0.5543 7.95366849829745e-05 0.110990927148506 0.5308 4.88342125712521e-05
"62" "DD0" "Gth95pctS02_Day" -0.17 -0.47 0.0870832296914172 0.5216 3.35375964988006e-05 0.359267495048728 0.593 0.000164052549048542
"42" "CMD" "FinalStemDiamS02_mm" 0.17 0.16 0.166347293453285 0.5456 6.37814552161093e-05 0.211854380227204 0.5561 9.37633127219108e-05
"27" "bFFP" "Gth5pctS02_Day" -0.17 -0.24 0.156006751820828 0.5368 5.63289194705556e-05 0.119643658220191 0.5319 4.94741819485939e-05
"8" "AHM" "FinalStemDiamS02_mm" 0.17 -0.06 0.172170085017021 0.5445 6.60140688469506e-05 -0.112615882111936 0.478 -4.98432138913093e-05
